"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services",31893962
"HMI","HIREMII LIMITED","2021-05-11","Commercial & Professional Services",5613341
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials",65893064
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials",184670285
"HNG","HGL LIMITED","1971-08-24","Capital Goods",43832408
"HNR","HANNANS LTD","2003-12-05","Materials",14159863
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials","N/A"
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment",482413904
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate",598711247
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco",26406459
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy",9825733
"HRL","HRL HOLDINGS LTD","2007-11-14","Commercial & Professional Services",59325757
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials",38409126
"HRR","HERON RESOURCES LIMITED","1996-08-07","Materials","N/A"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials",61057334
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services",33451569
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services",1225053154
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment",469939594
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing",34246480
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services",1425113401
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment",156617053
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials",2030865221
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials",470504902
"HUO","HUON AQUACULTURE GROUP LIMITED","2014-10-23","Food, Beverage & Tobacco",417517244
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco",27628841
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing",6666135599
"HVY","HEAVY MINERALS LIMITED",,"Class Pend",0
"HWH","HOUSTON WE HAVE LIMITED","2010-12-17","Software & Services",52441791
"HWK","HAWKSTONE MINING LIMITED","1971-07-08","Materials",75515488
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials",33005023
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences",35331585
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment",24471345
"HYM","HYPERION METALS LIMITED","2018-04-16","Materials",185221856
